Представление,Основной контакт,ЭДО,Основные сведения
"АГЕНТСТВО НЕДВИЖИМОСТИ ""КАРАВАН""ООО",Каратаев Роман Владимирович,1,"ООО АГЕНТСТВО НЕДВИЖИМОСТИ ""КАРАВАН""
ИНН 2464150240
КПП 245801001
ОГРН 1192468032085
89233300030
662501, Красноярский край, Сосновоборск г, Юности ул, дом 43, квартира 14
662501, Красноярский край, Сосновоборск г, Юности ул, дом 43, квартира 14
Каратаев Роман Владимирович
Клешнина Ольга Васильевна"
ГУ – Красноярского регионального отделения ФСС РФ,,1,"ГУ – Красноярского регионального отделения ФСС РФ
ИНН 2466039624
КПП 246401001"
ТИХООКЕАНСКАЯ УТИЛИЗАЦИОННАЯ КОМПАНИЯ ООО (ТУК),,,"ООО ТИХООКЕАНСКАЯ УТИЛИЗАЦИОННАЯ КОМПАНИЯ
ИНН 2722127627
КПП 272301001
ОГРН 1192724012304
ОКПО 39891593
ooo.tuk@mail.ru
680007, г. Хабаровск, пер. Спортивный, 4 лит А, оф. 410 (Интер Плаза)
+7 (999) 084 67 44
680007, г. Хабаровск, пер. Спортивный, 4 лит А, оф. 410 (Интер Плаза)
680007, г. Хабаровск, пер. Спортивный, 4 лит А, оф. 410 (Интер Плаза)
Бардин Марк Сергеевич"
"(производственная компания) ""Красноярск сенлвич ООО",,1,"ООО (производственная компания) ""Красноярск сенлвич""
Пузырёв Сергей"
«Дальнебойщик» ООО,,1,"ООО «Дальнебойщик»
ИНН 1414016046
КПП 141401001
ОГРН 1131450000197
+7 (924) 761-49-82
Котляров Станислав"
1 НЬЮ ООО,Бабенчик Борис Станиславович,1,"ООО ""1 НЬЮ""
ИНН 7811580972
КПП 781101001
ОГРН 1147847177796
office@1new.ru
193168, город Санкт-Петербург, ул. Антонова-Овсеенко, дом 5, корпус 1, литер А, помещение 4Н
8(800) 555-60-08
193168, город Санкт-Петербург, ул. Антонова-Овсеенко, дом 5, корпус 1, литер А, помещение 4Н
193168, город Санкт-Петербург, ул. Антонова-Овсеенко, дом 5, корпус 1, литер А, помещение 4Н


Бабенчик Борис Станиславович
Клешнина Ольга Васильевна"
100 КИЛОВАТТ.РУ ООО,Гайдукевич Юрий Валерьевич,1,"ООО ""100 КИЛОВАТТ.РУ""
ИНН 7328098102
КПП 732801001
ОГРН 1187325007572
sale@100kwatt.ru
8-495-118-42-28
432072, Ульяновская обл, г. Ульяновск, б-р Киевский, дом 24, офис 13
432072, Ульяновская обл, г. Ульяновск, б-р Киевский, дом 24, офис 13
Гайдукевич Юрий Валерьевич
Прыткина Анна Николаевна"
1000 ЗАПЧАСТЕЙ ООО,Панекин Евгений Сергеевич,1,"ООО ""1000 ЗАПЧАСТЕЙ""
ИНН 2543122823
КПП 254301001
ОГРН 1182536007488
690062, Приморский край, Владивосток г, Днепровская ул, дом 27, офис 012
690062, Приморский край, Владивосток г, Днепровская ул, дом 27, офис 012


Панекин Евгений Сергеевич
Клешнина Ольга Васильевна"
1000 РАЗМЕРОВ ООО,Педоненко Григорий Викторович,1,"ООО ""1000 РАЗМЕРОВ""
ИНН 2537126499
КПП 253601001
ОГРН 1162536070487
office5@1000size.ru
что и Генеон
690034, Приморский край, г. Владивосток, ул Фадеева, д. 47А, кв. 13
(423)260-15-15
690034, Приморский край, г. Владивосток, ул Фадеева, д. 47А, кв. 13
690034, Приморский край, г. Владивосток, ул Фадеева, д. 47А, кв. 13


Педоненко Григорий Викторович"
1001 КРЕПЕЖ ООО,Фролов Евгений Вячеславович,1,"ООО ""1001 КРЕПЕЖ""
ИНН 7723889433
КПП 772401001
ОГРН 5137746067179
info@1001krep.ru
8 (800) 222-76-20
8 (495) 230-10-82
117546, Москва г, пр-д Ступинский, дом 1, помещение II, комната 1
117546, Москва г, пр-д Ступинский, дом 1, помещение II, комната 1
Фролов Евгений Вячеславович
Прыткина Анна Николаевна"
